concept_iri	notation	pref_label	definition	capture_timestamp	source_url	capture_count	sampled_capture_count	distinct_sampled_definitions	review_status	review_note	sampled_headings	errors
https://data.idnau.org/pid/vocab/atns-sub/4f924c21-9e16-51f1-823e-8944b84c7142	49	Land Planning	Land Planning agreements cover planning rights to land, commonly through the establishment of a management plan or committee.	20200724100844	https://web.archive.org/web/20200724100844/https://www.atns.net.au/subjectmatter.asp?subjectmatterid=49	15	3	1	stable		Land Planning	""
https://data.idnau.org/pid/vocab/atns-sub/b39d3bcb-b425-5b5d-b1f1-9735a7a6a23b	50	Law - Policy and Justice	Law, Policy and Justice agreements cover policies or practices relating to Indigenous people, in the application of state laws and legal system.	20110216094833	https://web.archive.org/web/20110216094833/http://atns.net.au/subjectmatter.asp?SubjectmatterID=50	11	2	1	stable		Law - Policy and Justice	20200921053418: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/b5868ee2-df76-5e62-ae92-ff325f5dbc01	51	Marine	Marine agreements cover marine life or areas.	20200922035812	https://web.archive.org/web/20200922035812/https://atns.net.au/subjectmatter.asp?subjectmatterid=51	11	3	1	stable		Marine	""
https://data.idnau.org/pid/vocab/atns-sub/1ec05be0-16ac-52de-bf3b-54bec0211332	52	Management / Administration	Management/Administrative agreements cover management and administrative schemes or programs either for, or run by, Indigenous people or organisations. Does not include agreements that merely contain a clause for the management or administration of that agreement.	20201029023600	https://web.archive.org/web/20201029023600/https://atns.net.au/subjectmatter.asp?SubjectmatterID=52	18	3	1	stable		Management / Administration	""
https://data.idnau.org/pid/vocab/atns-sub/f630e08a-ea9c-57e3-ab87-066e4b9ad57e	53	Tourism	Tourism agreements cover tourism and tourism-related activities and developments.	20200925100714	https://web.archive.org/web/20200925100714/https://atns.net.au/subjectmatter.asp?SubjectmatterID=53	13	3	1	stable		Tourism	""
https://data.idnau.org/pid/vocab/atns-sub/8afa6040-57f6-5faf-a4f9-863bd8f4f470	54	Water	Water agreements cover use, management and access to water.	20200925100819	https://web.archive.org/web/20200925100819/https://atns.net.au/subjectmatter.asp?SubjectmatterID=54	15	2	1	stable		Water	20070901081139: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/9335b2f1-4915-55cc-9736-2ded7c4a2008	55	Access	Access Agreements cover conditions of, or the process of gaining, access to land.	20200925100850	https://web.archive.org/web/20200925100850/https://atns.net.au/subjectmatter.asp?SubjectmatterID=55	22	2	1	stable		Access	20070901081830: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/df1f9525-0566-5955-b635-505a930f14b2	179	Leadership	Leadership agreements aim to develop leadership qualities in members of Indigenous communities.	20200808180829	https://web.archive.org/web/20200808180829/https://atns.net.au/subjectmatter.asp?SubjectmatterID=179	9	3	1	stable		Leadership	""
https://data.idnau.org/pid/vocab/atns-sub/81edd075-cb8e-5a7e-a65d-a47cec815898	298	Oil and Gas	Oil and Gas agreements cover grants of oil or gas tenements or conduct of oil or gas exploration and production activities.	20201029024841	https://web.archive.org/web/20201029024841/https://atns.net.au/subjectmatter.asp?SubjectmatterID=298	15	3	1	stable		Oil and Gas	""
https://data.idnau.org/pid/vocab/atns-sub/99f93fc8-8a58-5ec5-a630-93b5790334b4	312	Youth		20200922205347	https://web.archive.org/web/20200922205347/https://atns.net.au/subjectmatter.asp?subjectmatterid=312	9	3	1	empty-definition	20080719211309: Youth — [empty] || 20110216100026: Youth — [empty] || 20200922205347: Youth — [empty]	Youth	""
https://data.idnau.org/pid/vocab/atns-sub/fdfa75e8-9832-5b80-93b8-4868091b8235	319	Transport		20200319035826	https://web.archive.org/web/20200319035826/https://www.atns.net.au/subjectmatter.asp?SubjectmatterID=319	10	3	1	empty-definition	20080719210700:  — [empty] || 20110216093058:  — [empty] || 20200319035826: Transport — [empty]	 | Transport	""
https://data.idnau.org/pid/vocab/atns-sub/c3a6447e-4d24-590c-b351-d34140bf0801	354	Financial Services				0	0	0	missing-capture			""
https://data.idnau.org/pid/vocab/atns-sub/0dd6cccd-dec1-56e3-93da-f93c889a921d	355	Green Energy				0	0	0	missing-capture			""
