"concept_iri"	"notation"	"pref_label"	"definition"	"capture_timestamp"	"source_url"	"capture_count"	"sampled_capture_count"	"distinct_sampled_definitions"	"review_status"	"review_note"	"sampled_headings"	"errors"
"https://data.idnau.org/pid/vocab/atns-subcat/de48a4f0-1a8c-5488-bfa1-2fcef98c749d"	"90"	"Prescribed Body Corporate (PBC)"	"Under the Native Title Act 1993 (Cth), a Prescribed Body Corporate (PBC) is a native title corporation established by a group of native title holders to represent them and manage their native title rights and interests which have been determined to exist (also known as a ‘Registered Native Title Body Corporate’)."	"20200921065431"	"https://web.archive.org/web/20200921065431/https://atns.net.au/subcategory.asp?subcategoryid=90"	"12"	"3"	"1"	"heading-mismatch"	"20070901082253: Prescribed Body Corporate — Under the Native Title Act 1993 (Cth), a Prescribed Body Corporate (PBC) is a native title corporation established by a group of native title holders to represent them and manage their native title rights and interests which have been determined to exist (also known as a ‘Registered Native Title Body Corporate’). || 20110216101500: Prescribed Body Corporate — Under the Native Title Act 1993 (Cth), a Prescribed Body Corporate (PBC) is a native title corporation established by a group of native title holders to represent them and manage their native title rights and interests which have been determined to exist (also known as a ‘Registered Native Title Body Corporate’). || 20200921065431: Prescribed Body Corporate — Under the Native Title Act 1993 (Cth), a Prescribed Body Corporate (PBC) is a native title corporation established by a group of native title holders to represent them and manage their native title rights and interests which have been determined to exist (also known as a ‘Registered Native Title Body Corporate’)."	"Prescribed Body Corporate"	""
"https://data.idnau.org/pid/vocab/atns-subcat/7d302f05-b6eb-5d8e-bff5-9fc313296b0c"	"91"	"Sole Trader"	"An individual who runs a business in their own name which is not a limited company or a partnership."	"20110216102828"	"https://web.archive.org/web/20110216102828/http://atns.net.au/subcategory.asp?subcategoryID=91"	"6"	"2"	"1"	"stable"	""	"Sole Trader"	"20140126160604: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/f2c94516-72ba-5d2d-b9e9-1b80cf9850a1"	"92"	"Incorporated Association"	"An association or group of people who, as a group, are recognised as a legal entity separate from its members. An association may be incorporated under commonwealth, state or territory legislation. Once incorporated, an association has all the powers of an individual and is legally able to do things in its own name, such as own land, sign a lease, or appear in court."	"20201029103124"	"https://web.archive.org/web/20201029103124/https://atns.net.au/subcategory.asp?subcategoryid=92"	"16"	"3"	"1"	"stable"	""	"Incorporated Association"	""
"https://data.idnau.org/pid/vocab/atns-subcat/5256bda6-9db4-55ea-a7a8-c0b7773c6aa5"	"93"	"Agreement in Principle / Heads of Agreement (New Zealand)"	"An Agreement in Principle or Heads of Agreement outlines the preliminary elements of a settlement and includes basic details of the historical account of the claim as well as cultural and commercial redress. It may also include a proposed financial quantum of the settlement."	"20140303160818"	"https://web.archive.org/web/20140303160818/http://atns.net.au/subcategory.asp?subcategoryID=93"	"7"	"3"	"1"	"stable"	""	"Agreement in Principle / Heads of Agreement (New Zealand)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/84f0e035-49f3-5a4d-b092-77a17ebffa36"	"94"	"Governance Entity (New Zealand)"	"The Governance Entity is the legal entity that is responsible to a wider claimant group to hold and manage settlement assets and exercise the forms of cultural redress that are provided for in the settlement package."	"20140125204641"	"https://web.archive.org/web/20140125204641/http://atns.net.au/subcategory.asp?subcategoryID=94"	"5"	"3"	"1"	"stable"	""	"Governance Entity (New Zealand)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/23587163-67a7-5fa1-8812-c75f795d32df"	"95"	"Comprehensive Land Claims Agreement (Canada)"	"An agreement negotiated under the Canadian federal government’s Comprehensive Claims Policy, which clearly defines the rights of Aboriginal groups with respect to land and resources. Arrangements for self-government may also be included. The rights ensured by the agreement are constitutionally protected."	"20140302103654"	"https://web.archive.org/web/20140302103654/http://atns.net.au/subcategory.asp?subcategoryID=95"	"6"	"3"	"1"	"stable"	""	"Comprehensive Land Claims Agreement (Canada)"	""
"https://data.idnau.org/pid/vocab/atns-subcat/0cd007d5-c58e-513b-862c-989968dcc81a"	"96"	"Specific Claims Agreement (Canada)"	"An agreement negotiated under the Canadian federal government’s Specific Claims Policy, which deals with outstanding treaty or other legal obligations. Such agreements are designed to achieve ‘full and final closure’ to grievances and to facilitate economic opportunities for First Nation governments."	"20140303160805"	"https://web.archive.org/web/20140303160805/http://atns.net.au/subcategory.asp?subcategoryID=96"	"6"	"1"	"1"	"single-sample"	"20140303160805: Specific Claims Agreement (Canada) — An agreement negotiated under the Canadian federal government’s Specific Claims Policy, which deals with outstanding treaty or other legal obligations. Such agreements are designed to achieve ‘full and final closure’ to grievances and to facilitate economic opportunities for First Nation governments."	"Specific Claims Agreement (Canada)"	"20070911160032: URLError: <urlopen error [Errno 61] Connection refused> | 20110216114709: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/2d2a94e9-c385-5c3d-b6fc-8bf2c230e7ef"	"97"	"Framework Agreement (Canada)"	"An agreement often representing the first stage of negotiations of a land claims or self-government agreement. It may set out the details of the negotiation subject matter, the process and timetable for reaching an agreement-in-principle."	"20140302103710"	"https://web.archive.org/web/20140302103710/http://atns.net.au/subcategory.asp?subcategoryID=97"	"6"	"1"	"1"	"single-sample"	"20140302103710: Framework Agreement (Canada) — An agreement often representing the first stage of negotiations of a land claims or self-government agreement. It may set out the details of the negotiation subject matter, the process and timetable for reaching an agreement-in-principle."	"Framework Agreement (Canada)"	"20070911155559: URLError: <urlopen error [Errno 61] Connection refused> | 20110216114010: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/49e870b8-b962-5785-a662-f506350ede50"	"98"	"Agreement-in-Principle (AIP) (Canada)"	"An agreement setting out the objectives of, and elements to be included in a final agreement. The AIP does not create binding legal relations but paves the way for negotiation, and thereby functions as the basis of a final agreement."	"20140302103648"	"https://web.archive.org/web/20140302103648/http://atns.net.au/subcategory.asp?subcategoryID=98"	"7"	"1"	"1"	"single-sample"	"20140302103648: Agreement-in-Principle (AIP) (Canada) — An agreement setting out the objectives of, and elements to be included in a final agreement. The AIP does not create binding legal relations but paves the way for negotiation, and thereby functions as the basis of a final agreement."	"Agreement-in-Principle (AIP) (Canada)"	"20070911155627: URLError: <urlopen error [Errno 61] Connection refused> | 20110216113729: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/496640c9-a0b8-580b-9bba-459fe5fcc345"	"99"	"Interim Measures Agreement (Canada)"	"An agreement which sets out temporary arrangements intended to afford a measure of protection to Aboriginal interests while a final agreement is in the process of being negotiated. It protects the rights and benefits negotiated in the agreement-in-principle, and may recognise certain principles by which negotiations are to be guided. An interim measures agreement does not create binding legal relations but serves as a bridge to the negotiation of a final agreement."	"20140302103724"	"https://web.archive.org/web/20140302103724/http://atns.net.au/subcategory.asp?subcategoryID=99"	"6"	"3"	"1"	"stable"	""	"Interim Measures Agreement (Canada)"	""
