resource_iri,resource_name,original_url,last_url_reached,possible_updated_url,http_status,classification,assessment,broken,same_domain_redirect,path_changed,content_type,content_length,error
https://data.idnau.org/pid/resource/d93e67f1-9d48-598a-b1da-05c301f8a07d,Nisga'a Nation Fiscal Financing Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/fiscal_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/cd89ff06-3cff-5143-b076-b11360802848,Nisga'a Nation Harvest Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/harvest_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/1409f290-1653-51ee-a562-9f3195bcc27d,Nisga'a Nation Own Source Revenue Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/source_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/273eb91a-607b-5993-8792-fff1f7f2c577,Nisga'a Nation Taxation Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/tax_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/caffd22b-c7cb-5108-8357-a56806642cd1,Nunavit Inuit Marine Region Agreement-in-Principle,http://www.ainc-inac.gc.ca/pr/agr/nunavik/mareg/index_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/da85155e-d911-5108-a946-c90dd4b6d785,Tlicho Agreement,http://www.ainc-inac.gc.ca/pr/agr/nwts/tliagr2_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/5bd90589-f9c1-571a-b3b3-0c20a9a383ee,Background Summary of the JBNQA and NEQA Implementation,http://www.ainc-inac.gc.ca/pr/agr/que/cin006_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/b87ac273-9d81-5580-8e05-099bdd951df0,James Bay and Northern Quebec Agreement and Complementary Agreements,http://www.ainc-inac.gc.ca/pr/agr/que/jbnq_e.PDF,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/5567eeeb-d2a4-591d-b919-e7bac0cac522,Agreement Respecting the Implementaion of the James Bay and Northern Quebec Agreement Between Her Majesty the Queen in Right of Canada and Makivik Corporation</i>,http://www.ainc-inac.gc.ca/pr/agr/que/jbnqr_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/18c1cb9a-ef0c-53c4-b4b9-63f830b428c2,Highlights: Sahtu Dene and Metis Comprehensive Land Claim Agreement,http://www.ainc-inac.gc.ca/pr/agr/sahtu/sahhilit_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/48354aca-4d38-505c-95ec-f43f1e2a9a4f,Implementation Plan for the Sahtu Dene and Metis Comprehensive Land Claim Agreement,http://www.ainc-inac.gc.ca/pr/agr/sahtu/sahip_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/a748fdc5-288d-5670-ab72-b6481c7920c1,Sahtu Dene and Metis Comprehensive Land Claim Agreement,http://www.ainc-inac.gc.ca/pr/agr/sahtu/sahmet_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
